Date/Time,Electricity Total [kWh] (Hourly),Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly)
11/06 6:00:00,1.906643274,0.4718633719,0.4996186232,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.67E-02,1.16E-02,8.00E-02,0.3084235243,0.4783729193
11/06 7:00:00,2.911885029,0.6231838602,0.852569821,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.79E-02,2.01E-02,0.1337537194,0.3563530526,0.8280224995
11/06 8:00:00,3.552330764,0.8648588682,0.9468857157,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1906826227,3.91E-02,0.2113385113,0.3786518171,0.9208023475
11/06 9:00:00,3.453570254,0.8314496337,0.9138989901,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1855290383,3.81E-02,0.272663513,0.3201282398,0.8918470088
11/06 10:00:00,3.115882008,0.7457800939,0.8290824255,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.103071688,2.11E-02,0.3340373517,0.2724550191,0.8103144062
11/06 11:00:00,2.935253436,0.748327827,0.7364411032,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3488093121,0.2788627101,0.7172316912
11/06 12:00:00,2.796018516,0.7645382238,0.6506161886,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3649342731,0.2789481459,0.6314008914
11/06 13:00:00,2.636064128,0.7506784757,0.584336899,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3557734983,0.2742491726,0.5654452897
11/06 14:00:00,2.515693275,0.7263409609,0.548815618,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3219526009,0.2837325552,0.5292707475
11/06 15:00:00,2.448898544,0.7295031785,0.5128063043,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.79E-02,2.01E-02,0.2967170257,0.2997090646,0.4921608946
11/06 16:00:00,2.612559202,0.8059223293,0.5187912932,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1391467787,2.85E-02,0.3067911011,0.3163690611,0.4969982623
11/06 17:00:00,3.194170425,1.050928762,0.5665826246,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.2525256355,5.18E-02,0.3573234763,0.3742091514,0.5408052886
11/06 18:00:00,4.210666362,1.458205407,0.6703229517,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.4483617761,9.20E-02,0.4482008871,0.4546043138,0.6390076082
11/06 19:00:00,4.806065466,1.679839446,0.7627303104,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.6132765433,0.1257890469,0.4021357452,0.4935630748,0.728731299
11/06 20:00:00,4.673928771,1.583572451,0.7784762733,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.6132765433,0.1257890469,0.3199777004,0.5094541483,0.7433826079
11/06 21:00:00,4.413788861,1.50596796,0.7266140457,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.5668942838,0.1162755927,0.280754568,0.5269685036,0.6903139069
11/06 22:00:00,4.013607013,1.370628667,0.6614386782,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.479283349,9.83E-02,0.2632988343,0.5146657369,0.6259860133
11/06 23:00:00,3.263078326,1.099746063,0.5546704752,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.3555973235,7.29E-02,0.2107599786,0.4453772388,0.5239907372
11/07 1059408:00:00,2.523286263,0.8407610703,0.4417496281,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.2473720511,5.07E-02,0.1405510376,0.3870245333,0.4150895067
11/07 1:00:00,1.768448017,0.5813618216,0.3214256837,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1288396099,2.64E-02,9.09E-02,0.3201282398,0.2993737024
11/07 2:00:00,1.458906961,0.4796501103,0.2674929094,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.73E-02,1.59E-02,7.67E-02,0.2947537836,0.2471888434
11/07 3:00:00,1.339864744,0.4326159224,0.2548882839,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.15E-02,1.06E-02,6.41E-02,0.2913363484,0.2348196274
11/07 4:00:00,1.328953182,0.4212788511,0.2606283287,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.15E-02,1.06E-02,5.69E-02,0.2872354262,0.2408421635
11/07 5:00:00,1.416238318,0.4208434815,0.3043325535,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.15E-02,1.06E-02,6.73E-02,0.2763850696,0.2852938133
