Date/Time,Electricity Total [kWh] (Hourly),Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly)
01/02 11:00:00,5.379746218,0.840217553,1.84168402,0.00E+00,0.970749036,0.00E+00,2.69E-02,2.69E-02,2.69E-02,0.101778637,2.09E-02,0.344876896,0.33068422,0.848155856
01/02 12:00:00,3.164450953,0.829635002,0.771508937,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.361120015,0.330785532,0.74872283
01/02 13:00:00,2.972493169,0.814789051,0.690184076,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.351846255,0.325213341,0.667781809
01/02 14:00:00,2.830851409,0.792036528,0.642503048,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.317848037,0.336459036,0.619326123
01/02 15:00:00,2.740797008,0.79223188,0.597932389,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.107135439,2.20E-02,0.292642405,0.355404486,0.573450409
01/02 16:00:00,2.87691107,0.854486795,0.604411765,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.133919315,2.75E-02,0.302863858,0.375160437,0.5785689
01/02 17:00:00,3.450926302,1.083676026,0.664631685,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.224984415,4.61E-02,0.353721026,0.443749045,0.634064105
01/02 18:00:00,4.538366055,1.502758382,0.792529858,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.417828218,8.57E-02,0.445070293,0.539084171,0.755395133
01/02 19:00:00,5.278745257,1.777479618,0.904589079,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.621385559,0.127452299,0.398284023,0.585282702,0.864271977
01/02 20:00:00,5.246945565,1.728574357,0.923243521,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.658882972,0.135143384,0.315346149,0.604126839,0.881628343
01/02 21:00:00,4.865995397,1.600128979,0.861929152,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.567817873,0.11646503,0.275875149,0.624895915,0.818883299
01/02 22:00:00,4.42828028,1.458263789,0.78442764,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.476752706,9.78E-02,0.25834249,0.610306906,0.742386749
