Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 11/23  10:00:00,0.812946952886175,3.31065095531598,0.000000000000000E+000,2.42144337055505,0.000000000000000E+000,6.716685897255474E-002,6.716685897255474E-002,6.716685897255474E-002,0.103071687957284,2.114102305215491E-002,0.334037351732395,0.272455019111786,0.870439565482756 
 11/23  11:00:00,0.832147104560593,3.81280986077075,0.000000000000000E+000,3.02178242493323,0.000000000000000E+000,8.381927756365812E-002,8.381927756365812E-002,8.381927756365812E-002,8.761093476369174E-002,1.796985800087490E-002,0.348809312112515,0.278862710059853,0.771818023820014 
 11/23  12:00:00,0.797874737950991,1.90540205848615,0.000000000000000E+000,1.20182009976361,0.000000000000000E+000,3.333651413565803E-002,3.333651413565803E-002,3.333651413565803E-002,8.761093476369174E-002,1.796985800087490E-002,0.364934273051607,0.278948145939160,0.684366661468488 
 11/23  13:00:00,0.756846842757637,0.857437578114447,0.000000000000000E+000,0.222376805283914,0.000000000000000E+000,6.168367057804921E-003,6.168367057804921E-003,6.168367057804921E-003,8.761093476369174E-002,1.796985800087490E-002,0.355773498298021,0.274249172577245,0.616169163585345 
 11/23  14:00:00,0.726340960899809,0.593407700617095,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,8.761093476369174E-002,1.796985800087490E-002,0.321952600894858,0.283732555180382,0.573862830117633 
 11/23  15:00:00,0.729503178495170,0.551822024560953,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,9.791810355942018E-002,2.008397258151521E-002,0.296717025683342,0.299709064610896,0.531176614831321 
 11/23  16:00:00,0.805922329279373,0.558326739324676,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.139146778742334,2.854037634663281E-002,0.306791101054537,0.316369061075869,0.536533708472673 
 11/23  17:00:00,1.05092876192309,0.611255412723336,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.252525635495347,5.179548670070621E-002,0.357323476299952,0.374209151367082,0.585478076743923 
 11/23  18:00:00,1.46774501751772,1.06959381495860,0.000000000000000E+000,0.343914042006502,0.000000000000000E+000,9.539610233724748E-003,9.539610233724748E-003,9.539610233724748E-003,0.448361776116323,9.196341822437572E-002,0.448200887087803,0.454604313795488,0.694364429402682 
 11/23  19:00:00,1.67983944625083,0.825781483863997,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.613276543345842,0.125789046924207,0.402135745161050,0.493563074759733,0.791782472459185 
 11/23  20:00:00,1.58357245104502,0.842975464923263,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.613276543345842,0.125789046924207,0.319977700404031,0.509454148310937,0.807881799524806 
 11/23  21:00:00,1.50761146067505,0.847036831207256,0.000000000000000E+000,5.925010925003586E-002,0.000000000000000E+000,1.643500641187155E-003,1.643500641187155E-003,1.643500641187155E-003,0.566894283765064,0.116275592688450,0.280754567951364,0.526968503568985,0.751486583071141 
 11/23  22:00:00,1.38044544614289,1.07072473669083,0.000000000000000E+000,0.353906303646025,0.000000000000000E+000,9.816779147323979E-003,9.816779147323979E-003,9.816779147323979E-003,0.479283349001372,9.830573468757482E-002,0.263298834297921,0.514665736948699,0.681365768218329 
 11/23  23:00:00,1.12299609447023,1.43966118453271,0.000000000000000E+000,0.838190680262799,0.000000000000000E+000,2.325003173640862E-002,2.325003173640862E-002,2.325003173640862E-002,0.355597323452631,7.293650975286112E-002,0.210759978638061,0.445377238830273,0.570790766265189 
 11/23  24:00:00,0.876465296920018,1.76533293787759,0.000000000000000E+000,1.28717888843626,0.000000000000000E+000,3.570422662919039E-002,3.570422662919039E-002,3.570422662919039E-002,0.247372051097483,5.073843623006651E-002,0.140551037640066,0.387024533263215,0.451493927983170 
 11/24  01:00:00,0.630741958516783,2.12681048494655,0.000000000000000E+000,1.78021135875943,0.000000000000000E+000,4.938013695844796E-002,4.938013695844796E-002,4.938013695844796E-002,0.128839609946605,2.642627540535341E-002,9.089268438097377E-002,0.320128239765401,0.324547144928019 
 11/24  02:00:00,0.538721967766877,2.41621889013556,0.000000000000000E+000,2.12960915352068,0.000000000000000E+000,5.907185747994457E-002,5.907185747994457E-002,5.907185747994457E-002,7.730376596796329E-002,1.585575705959550E-002,7.666179158831476E-002,0.294753783611058,0.266305670603703 
 11/24  03:00:00,0.496400437971691,2.57030508212811,0.000000000000000E+000,2.29950595704374,0.000000000000000E+000,6.378451555028607E-002,6.378451555028607E-002,6.378451555028607E-002,5.153583732885577E-002,1.057050879820527E-002,6.409821579558966E-002,0.291336348438756,0.250730468534192 
 11/24  04:00:00,0.490443493015686,2.76849105079621,0.000000000000000E+000,2.49346576917531,0.000000000000000E+000,6.916464192705872E-002,6.916464192705872E-002,6.916464192705872E-002,5.153583732885577E-002,1.057050879820527E-002,5.686206666957333E-002,0.287235426231993,0.255239116423919 
 11/24  05:00:00,0.495059541734030,2.99598002322749,0.000000000000000E+000,2.67557527217212,0.000000000000000E+000,7.421606020678732E-002,7.421606020678732E-002,7.421606020678732E-002,5.153583732885577E-002,1.057050879820527E-002,6.727705378024802E-002,0.276385069559933,0.301366010897063 
