Year,Month,Day,Hour,Minute,Energy Generated (kW)
2019,1,6,20,0,0.00E+00
2019,1,6,20,30,0.00E+00
2019,1,6,21,0,0.00E+00
2019,1,6,21,30,0.00E+00
2019,1,6,22,0,0.00E+00
2019,1,6,22,30,0.00E+00
2019,1,6,23,0,0.00E+00
2019,1,6,23,30,0.00E+00
2019,1,7,0,0,0.00E+00
2019,1,7,0,30,0.00E+00
2019,1,7,1,0,0.00E+00
2019,1,7,1,30,0.00E+00
2019,1,7,2,0,0.00E+00
2019,1,7,2,30,0.00E+00
2019,1,7,3,0,0.00E+00
2019,1,7,3,30,0.00E+00
2019,1,7,4,0,0.00E+00
2019,1,7,4,30,0.00E+00
2019,1,7,5,0,0.00E+00
2019,1,7,5,30,0.00E+00
2019,1,7,6,0,0.00E+00
2019,1,7,6,30,0.00E+00
2019,1,7,7,0,0.00E+00
2019,1,7,7,30,5.14E-02
2019,1,7,8,0,1.68E-01
2019,1,7,8,30,3.25E-01
2019,1,7,9,0,5.10E-01
2019,1,7,9,30,1.16E+00
2019,1,7,10,0,8.99E-01
2019,1,7,10,30,9.19E-01
2019,1,7,11,0,7.90E-01
2019,1,7,11,30,9.54E-01
2019,1,7,12,0,1.15E+00
2019,1,7,12,30,1.89E+00
2019,1,7,13,0,9.67E-01
2019,1,7,13,30,1.25E+00
2019,1,7,14,0,1.34E+00
2019,1,7,14,30,1.89E+00
2019,1,7,15,0,8.68E-01
2019,1,7,15,30,2.21E-01
2019,1,7,16,0,4.80E-01
2019,1,7,16,30,3.56E-01
2019,1,7,17,0,0.00E+00
2019,1,7,17,30,0.00E+00
2019,1,7,18,0,0.00E+00
2019,1,7,18,30,0.00E+00
2019,1,7,19,0,0.00E+00
2019,1,7,19,30,0.00E+00
2019,1,7,20,0,0.00E+00
2019,1,7,20,30,0.00E+00
2019,1,7,21,0,0.00E+00
2019,1,7,21,30,0.00E+00
2019,1,7,22,0,0.00E+00
2019,1,7,22,30,0.00E+00
2019,1,7,23,0,0.00E+00
2019,1,7,23,30,0.00E+00
2019,1,8,0,0,0.00E+00
2019,1,8,0,30,0.00E+00
2019,1,8,1,0,0.00E+00
2019,1,8,1,30,0.00E+00
2019,1,8,2,0,0.00E+00
2019,1,8,2,30,0.00E+00
2019,1,8,3,0,0.00E+00
2019,1,8,3,30,0.00E+00
2019,1,8,4,0,0.00E+00
2019,1,8,4,30,0.00E+00
2019,1,8,5,0,0.00E+00
2019,1,8,5,30,0.00E+00
2019,1,8,6,0,0.00E+00
2019,1,8,6,30,0.00E+00
2019,1,8,7,0,0.00E+00
2019,1,8,7,30,2.44E-01
2019,1,8,8,0,5.82E-01
2019,1,8,8,30,1.01E+00
2019,1,8,9,0,1.33E+00
2019,1,8,9,30,1.66E+00
2019,1,8,10,0,1.90E+00
2019,1,8,10,30,1.90E+00
2019,1,8,11,0,2.07E+00
2019,1,8,11,30,2.10E+00
2019,1,8,12,0,2.06E+00
2019,1,8,12,30,2.00E+00
2019,1,8,13,0,1.97E+00
2019,1,8,13,30,1.85E+00
2019,1,8,14,0,1.71E+00
2019,1,8,14,30,1.52E+00
2019,1,8,15,0,1.30E+00
2019,1,8,15,30,8.91E-01
2019,1,8,16,0,5.67E-01
2019,1,8,16,30,2.66E-01
2019,1,8,17,0,0.00E+00
2019,1,8,17,30,0.00E+00
2019,1,8,18,0,0.00E+00
2019,1,8,18,30,0.00E+00
2019,1,8,19,0,0.00E+00
2019,1,8,19,30,0.00E+00
2019,1,8,20,0,0.00E+00
2019,1,8,20,30,0.00E+00
2019,1,8,21,0,0.00E+00
2019,1,8,21,30,0.00E+00
2019,1,8,22,0,0.00E+00
2019,1,8,22,30,0.00E+00
2019,1,8,23,0,0.00E+00
2019,1,8,23,30,0.00E+00
2019,1,9,0,0,0.00E+00
2019,1,9,0,30,0.00E+00
2019,1,9,1,0,0.00E+00
2019,1,9,1,30,0.00E+00
2019,1,9,2,0,0.00E+00
2019,1,9,2,30,0.00E+00
